gene_tissue_id,gene_id,label,value,unit,sample,platform
3337,33,"Adrenal gland","  8.3",RPKM,145,GTEx
3338,33,Spleen,"  6.3",RPKM,104,GTEx
3339,33,"Heart muscle","  2.3",RPKM,412,GTEx
3340,33,"Skeletal muscle","  1.1",RPKM,430,GTEx
3341,33,Lung," 25.0",RPKM,320,GTEx
3342,33,Liver,"  1.4",RPKM,119,GTEx
3343,33,Pancreas,"  3.0",RPKM,171,GTEx
3344,33,"Salivary gland","  5.5",RPKM," 57",GTEx
3345,33,Esophagus,"  2.2",RPKM,286,GTEx
3346,33,Stomach,"  7.4",RPKM,193,GTEx
3347,33,"Small intestine","  4.8",RPKM," 88",GTEx
3348,33,Colon,"  5.1",RPKM,345,GTEx
3349,33,Kidney,"  7.7",RPKM," 32",GTEx
3350,33,"Urinary bladder","  7.6",RPKM," 11",GTEx
3351,33,Testis,"  4.0",RPKM,172,GTEx
3352,33,Prostate,"  5.6",RPKM,106,GTEx
3353,33,"Fallopian tube","  6.4",RPKM,"  6",GTEx
3354,33,Breast,"  7.2",RPKM,214,GTEx
3355,33,Vagina,"  4.8",RPKM," 96",GTEx
3356,33,"Cervix, uterine","  5.1",RPKM," 11",GTEx
3357,33,Endometrium,"  5.7",RPKM," 14",GTEx
3358,33,Ovary,"  4.0",RPKM," 97",GTEx
3359,33,"Adipose tissue","  8.5",RPKM,577,GTEx
3360,33,Skin,"  2.9",RPKM,607,GTEx
3361,33,Brain,"  4.5","Tags Per Million","  1",FANTOM5
3362,33,"Pituitary gland"," 29.1","Tags Per Million","  1",FANTOM5
3363,33,Hippocampus,"  9.5","Tags Per Million","  2",FANTOM5
3364,33,Caudate,"  8.1","Tags Per Million","  1",FANTOM5
3365,33,Cerebellum,"  4.0","Tags Per Million","  2",FANTOM5
3366,33,Retina," 15.2","Tags Per Million","  1",FANTOM5
3367,33,"Thyroid gland"," 25.8","Tags Per Million","  1",FANTOM5
3368,33,Appendix," 28.3","Tags Per Million","  1",FANTOM5
3369,33,"Lymph node"," 35.9","Tags Per Million","  1",FANTOM5
3370,33,Tonsil," 17.2","Tags Per Million","  1",FANTOM5
3371,33,Spleen," 31.2","Tags Per Million","  1",FANTOM5
3372,33,Thymus," 11.6","Tags Per Million","  1",FANTOM5
3373,33,"Heart muscle"," 20.5","Tags Per Million","  2",FANTOM5
3374,33,"Skeletal muscle","  9.8","Tags Per Million","  2",FANTOM5
3375,33,"Smooth muscle"," 20.4","Tags Per Million","  1",FANTOM5
3376,33,Lung,147.6,"Tags Per Million","  2",FANTOM5
3377,33,Liver," 12.3","Tags Per Million","  1",FANTOM5
3378,33,Gallbladder," 24.6","Tags Per Million","  1",FANTOM5
3379,33,Pancreas," 27.2","Tags Per Million","  1",FANTOM5
3380,33,"Salivary gland"," 18.8","Tags Per Million","  1",FANTOM5
3381,33,Esophagus," 16.3","Tags Per Million","  1",FANTOM5
3382,33,"Small intestine"," 13.7","Tags Per Million","  1",FANTOM5
3383,33,Colon," 20.5","Tags Per Million","  1",FANTOM5
3384,33,Kidney," 37.4","Tags Per Million","  1",FANTOM5
3385,33,"Urinary bladder"," 25.2","Tags Per Million","  1",FANTOM5
3386,33,Testis," 30.5","Tags Per Million","  2",FANTOM5
3387,33,Prostate," 29.8","Tags Per Million","  1",FANTOM5
3388,33,Epididymis," 21.3","Tags Per Million","  1",FANTOM5
3389,33,"Seminal vesicle"," 12.6","Tags Per Million","  1",FANTOM5
3390,33,Breast," 87.1","Tags Per Million","  1",FANTOM5
3391,33,Vagina," 42.6","Tags Per Million","  1",FANTOM5
3392,33,"Cervix, uterine"," 24.7","Tags Per Million","  1",FANTOM5
3393,33,Endometrium," 22.5","Tags Per Million","  1",FANTOM5
3394,33,Ovary," 23.0","Tags Per Million","  1",FANTOM5
3395,33,Placenta," 30.9","Tags Per Million","  1",FANTOM5
3396,33,"Adipose tissue"," 26.3","Tags Per Million","  1",FANTOM5
3397,34,"Cerebral cortex"," 5.2",TPM,"  3",HPA
3398,34,"Thyroid gland"," 3.8",TPM,"  5",HPA
3399,34,"Parathyroid gland"," 4.1",TPM,"  1",HPA
3400,34,"Adrenal gland"," 5.7",TPM,"  3",HPA
3401,34,Appendix," 9.3",TPM,"  3",HPA
3402,34,"Bone marrow"," 2.9",TPM,"  4",HPA
3403,34,"Lymph node",10.3,TPM,"  5",HPA
3404,34,Tonsil," 6.8",TPM,"  5",HPA
3405,34,Spleen,19.3,TPM,"  5",HPA
3406,34,"Heart muscle"," 2.4",TPM,"  4",HPA
3407,34,"Skeletal muscle"," 2.1",TPM,"  5",HPA
3408,34,"Smooth muscle"," 6.8",TPM,"  3",HPA
3409,34,Lung," 6.6",TPM,"  9",HPA
3410,34,Liver," 2.4",TPM," 10",HPA
